drugbank_id,name,type,cas_number,groups,synonyms
DB00423,Methocarbamol,small molecule,532-03-6,approved|vet_approved,(RS)-2-hydroxy-3-(2-methoxyphenoxy)propyl carbamate|Delaxin|Methocarbamol|Méthocarbamol|Methocarbamolum|Metocarbamol|Metocarbamolo
DB00424,Hyoscyamine,small molecule,101-31-5,approved,(−)-atropine|(−)-hyoscyamine|(S)-(−)-hyoscyamine|(S)-atropine|[3(S)-endo]-α-(hydroxymethyl)benzeneacetic acid 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester|Daturin|Daturine|Duboisine|Hyoscyamin|Hyoscyamine|Hyoscyaminum|L-Hyoscyamine|L-Tropine tropate|Tropine-L-tropate
DB00425,Zolpidem,small molecule,82626-48-0,approved,"N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2-a)pyridine-3-acetamide|Zolpidem|Zolpidemum"
DB00426,Famciclovir,small molecule,104227-87-4,approved,"2-(2-(2-amino-9H-purin-9-yl)ethyl)-1,3-propanediol diacetate|9-[4-acetoxy-3-(acetoxymethyl)but-1-yl]-2-aminopurine|acetic acid 2-acetoxymethyl-4-(2-amino-purin-9-yl)-butyl ester|Famciclovir|Famciclovirum|FCV"
DB00427,Triprolidine,small molecule,486-12-4,approved,Tripolidina|Triprolidin|Triprolidine|Triprolidinum
DB00428,Streptozocin,small molecule,18883-66-4,approved,2-Deoxy-2-(((methylnitrosoamino)carbonyl)amino)-D-glucopyranose|2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose|Estreptozocina|N-D-Glucosyl-(2)-n'-nitrosomethylurea|N-D-Glucosyl-(2)-n&#39;-nitrosomethylharnstoff|Streptozocin|Streptozocine|Streptozocinium|Streptozocinum|Streptozotocin
DB00429,Carboprost Tromethamine,small molecule,58551-69-2,approved,"(15S)-15-Methyl-pgf2alpha tromethamine salt|(15S)-15-Methylprostaglandin F2alpha tromethamine|1,3-Dihydroxy-2-(hydroxymethyl)propan-2-aminium (5Z,9alpha,11beta,13e,15S)-9,11,15-trihydroxy-15-methylprosta-5,13-dien-1-oate|15(S)-15-Methyl-pgf2alpha tromethamine salt|15(S)-15-Methylprostaglandin F2alpha tromethamine|Carboprost|Carboprost trometamol|Methyldinoprost"
DB00430,Cefpiramide,small molecule,70797-11-4,approved,Cefpiramide|Cefpiramido|Cefpiramidum
DB00431,Lindane,small molecule,58-89-9,approved|withdrawn,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane|(1R,2c,3t,4c,5c,6t)-1,2,3,4,5,6-Hexachlorocyclohexane|1,2,3,4,5,6-Hexachlorocyclohexane|Benzene hexachloride|gamma-1,2,3,4,5,6-Hexachlorocyclohexane|gamma-Benzene hexachloride|gamma-BHC|gamma-HCH|gamma-Hexachlorocyclohexane|gamma-Hexachlorzyklohexan|gamma-Lindane|Gammallin|Gammaxene|Lindan|γ-hexachlorocyclohexane|γ-Hexachlorzyklohexan|γ-lindane"
DB00432,Trifluridine,small molecule,70-00-8,approved,5-(Trifluoromethyl)deoxyuridine|5-Trifluoromethyl-2-deoxyuridine|F₃T|TFT|Trifluoromethyldeoxyuridine|Trifluorothymidine|Trifluorothymine deoxyriboside|Trifluridin|Trifluridina|Trifluridine|Trifluridinum
DB00433,Prochlorperazine,small molecule,58-38-8,approved|vet_approved,2-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)-phenothiazine|2-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine|3-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)phenothiazine|3-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine|Capazine|Chlormeprazine|Chloro-3 (N-methylpiperazinyl-3 propyl)-10 phenothiazine|Chloropernazine|Emetiral|N-(gamma-(4'-Methylpiperazinyl-1')propyl)-3-chlorophenothiazine|Prochlorperazin|Prochlorpérazine|Prochlorperazinum|Prochlorpermazine|Prochlorpromazine|Procloperazine|Proclorperazina
DB00434,Cyproheptadine,small molecule,129-03-3,approved,"1-methyl-4-(5-dibenzo(a,e)cycloheptatrienylidene)piperidine|1-Methyl-4-(5H-dibenzo(a,d)cycloheptenylidene)piperidine|4-(5-Dibenzo(a,D)cyclohepten-5-ylidine)-1-methylpiperidine|4-(5H-Dibenzo(a,D)cyclohepten-5-ylidene)-1-methylpiperidine|4-Dibenzo[a,D]cyclohepten-5-ylidene-1-methyl-piperidine|5-(1-methylpiperidylidene-4)-5H-dibenzo(a,d)cyclopheptene|Axoprol|Ciproheptadina|Cyproheptadin|Cyproheptadine|Cyproheptadinum|Dihexazin|Glutodina"
DB00435,Nitric Oxide,small molecule,10102-43-9,approved,(.)NO|(NO)(.)|[NO]|EDRF|endothelium-derived relaxing factor|Mononitrogen monoxide|Monoxido de nitrogeno|Monoxyde d'azote|Nitric oxide|nitrogen monooxide|Nitrogen monoxide|Nitrosyl|NO|NO(.)|Oxido de nitrogeno(ii)|Oxido nitrico|Oxyde azotique|Oxyde nitrique|Stickstoff(ii)-oxid|Stickstoffmonoxid
DB00436,Bendroflumethiazide,small molecule,73-48-3,approved,"+--3-Benzyl-3,4-dihydro-6-(trifluoromethyl)-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide|6-Trifluoromethyl-3-benzyl-7-sulfamyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide|Bendrofluazide|Bendroflumethiazid|Bendrofluméthiazide|Bendroflumethiazidum|Bendroflumetiazida|Benzhydroflumethiazide"
DB00437,Allopurinol,small molecule,315-30-0,approved,"1,5-Dihydro-4H-pyrazolo(3,4-d)pyrimidin-4-one|1,5-Dihydro-4H-pyrazolo(3,4-d)pyrimidine-4-one|1H-Pyrazolo(3,4-d)pyrimidin-4-ol|4-HPP|4-Hydroxy-1H-pyrazolo(3,4-d)pyrimidine|4-Hydroxy-3,4-pyrazolopyrimidine|4-Hydroxypyrazolo(3,4-d)pyrimidine|4-Hydroxypyrazolopyrimidine|4-Hydroxypyrazolyl(3,4-d)pyrimidine|4'-Hydroxypyrazolol(3,4-d)pyrimidine|4H-Pyrazolo(3,4-d)pyrimidin-4-one|Allopurinolum|Alopurinol"
DB00438,Ceftazidime,small molecule,72558-82-8,approved,CAZ|Ceftazidim|Ceftazidima|Ceftazidime|Ceftazidime anhydrous|Ceftazidimum
DB00439,Cerivastatin,small molecule,145599-86-6,withdrawn,
